Image,Color_1,Percentage_1,Color_2,Percentage_2,Color_3,Percentage_3,Color_4,Percentage_4,Color_5,Percentage_5,Color_6,Percentage_6,Color_7,Percentage_7,Color_8,Percentage_8,Color_9,Percentage_9,Color_10,Percentage_10
9164be3778c76111132e4c202cf76991.jpg,[178.56404061 199.28379054 198.32652775],27.427758815717645,[187.62797193 208.53774225 206.68111033],21.39562566924918,[168.45151337 189.0416429  188.1968906 ],16.263542454018644,[155.44194904 175.47058059 174.06398696],14.883683508125472,[14.1938331 17.5245851 16.7009838],10.837071614911396,[126.5597198  142.99715714 137.87247365],2.6876915889812714,[48.619922   60.77092555 74.18874702],2.2127133067733267,[ 89.08700673 112.23769192  98.99022552],2.190347589653145,[169.86159178 165.62700349  87.97883588],1.3127699961157302,[138.60952658  61.18644526  41.30560552],0.7887954564541866
colorbar_9164be3778c76111132e4c202cf76991.jpg,[254.97288475 254.99349347 254.97247651],88.11666666666666,[183.47436955 202.91138346 202.05903842],2.3572222222222226,[169.56356322 188.90655172 188.06977011],1.2083333333333333,[ 90.55433513 111.84423931  98.89401729],1.188611111111111,[126.114072   142.69693782 137.10939691],1.1883333333333332,[14.79534829 17.07386629 16.13966807],1.1883333333333332,[48.164446   59.9745208  73.68057504],1.1883333333333332,[137.45850865  61.09969612  42.80189341],1.1883333333333332,[168.21578025 164.70520164  87.32893045],1.1881944444444446,[155.41749503 174.76341948 173.96000468],1.187638888888889
colorbar_IMG_1070.JPEG,[254.99065151 254.98985868 254.93074142],88.11569444444444,[216.94584331 212.69901268 200.26318864],2.3775,[141.82114106 116.05296932  91.40625365],1.1904166666666667,[165.08062631 163.92393082 161.76559944],1.188611111111111,[18.83286583 14.97545582 15.957223  ],1.1883333333333332,[68.67893876 56.89095372 45.03529687],1.1883333333333332,[194.29569892 150.07713885 121.40486209],1.1883333333333332,[101.66721216  85.89853887  73.34891876],1.1881944444444446,[183.93150205 210.07036821 100.75429573],1.1881944444444446,[121.45879185 162.6875439   26.57890424],1.186388888888889
colorbar_IMG_1071.JPEG,[254.99496402 254.99115905 254.93186052],88.11583333333334,[221.40983702 216.10759974 206.04754951],2.377638888888889,[136.7823447  124.21625409 115.04764129],1.1894444444444443,[88.18137198 78.147131   76.00934907],1.1884722222222222,[23.01192146 17.0341281  16.85530622],1.1883333333333332,[183.49175921 157.04301578 149.74891876],1.1881944444444446,[215.82957335 209.83343074  99.41624781],1.1881944444444446,[64.7808043  55.21311667 43.05962123],1.1880555555555556,[174.60614917 154.98982932  59.1524433 ],1.1880555555555556,[128.44632834 103.15423293  52.56957437],1.1877777777777776
colorbar_IMG_1072.JPEG,[254.75746288 254.75382826 254.63575341],89.30305555555556,[207.55315673 200.17049831 188.9550706 ],1.1901388888888889,[68.06106959 58.72851471 54.12459131],1.1894444444444443,[173.81602617 164.93540474 150.04578904],1.1890277777777778,[145.68497312 130.03704136 114.34949755],1.188611111111111,[108.98889668  94.98550725  86.20652174],1.1883333333333332,[25.28050491 16.24731183 16.5982936 ],1.1883333333333332,[189.80675707  69.32101941  48.93652093],1.1880555555555556,[217.39546305 149.17235734  92.65423293],1.1877777777777776,[90.1517314  32.19501638 28.1758306 ],1.1872222222222222
colorbar_IMG_1073.JPEG,[254.99599326 254.97951708 254.94351159],88.11541666666668,[78.36651081 43.76762127 37.61870251],2.376388888888889,[114.65697267  98.89266527  84.65545433],1.1891666666666667,[224.32207944 218.97231308 212.74719626],1.1888888888888889,[140.91226636 129.04042056 115.07943925],1.1888888888888889,[165.14976636 156.71658879 146.00128505],1.1888888888888889,[198.97312456 189.14559477 177.10060762],1.188611111111111,[34.81897861 23.12796541 23.02372327],1.1884722222222222,[211.26949608 131.93043377  83.94306091],1.1879166666666667,[181.42999181  58.69212773  38.20786057],1.187361111111111
colorbar_IMG_1076.JPEG,[254.88351076 254.94372585 254.91295733],89.30486111111111,[ 67.05788562  79.18636626 101.84968226],1.2020833333333334,[ 99.06838604 111.11681643 123.24565293],1.1901388888888889,[11.31798528 17.78882786 27.88056562],1.1884722222222222,[193.83078182 207.90557438 220.86163375],1.1884722222222222,[138.59997663 163.80285147 199.09769779],1.1884722222222222,[41.29249474 50.89198036 60.97229366],1.1880555555555556,[ 83.34304434 122.82215982 193.84672985],1.1870833333333335,[101.48952849  87.83245583  27.93108693],1.1870833333333335,[ 58.45804774  91.12053888 157.34625384],1.1752777777777776
colorbar_IMG_1077.JPEG,[254.97131414 254.99573944 254.99693423],88.11444444444444,[ 98.05173524 141.46994791 210.1018318 ],2.3730555555555557,[139.80356935 144.42808818 152.57062872],1.1908333333333334,[231.31287914 234.07757816 239.02274848],1.1905555555555556,[161.90647986 174.81062464 194.0068885 ],1.1895833333333332,[57.03516766 61.96845426 65.98434397],1.18875,[109.40084142 115.93502396 123.93128433],1.1884722222222222,[86.17192613 90.2311828  97.71645629],1.1883333333333332,[193.3635726  199.01660042 211.30079495],1.1880555555555556,[33.26937917 35.95884485 40.98070852],1.1879166666666667
colorbar_IMG_1078.JPEG,[254.77836842 254.78423471 254.73469001],89.30486111111111,[162.69548477 167.5926963  174.82755804],1.1904166666666667,[28.00432293 29.00432293 32.72111228],1.18875,[89.00420708 93.8573098  98.00035059],1.1884722222222222,[66.28736707 69.938413   72.81558958],1.1884722222222222,[200.34229286 203.83405399 206.78123174],1.1884722222222222,[108.83239832 116.11816269 125.7800374 ],1.1883333333333332,[132.6084619  139.35366994 151.23468911],1.1883333333333332,[46.3663899  49.79920477 52.68132382],1.187638888888889,[122.84158764 184.77976818 234.59969559],1.18625
colorbar_IMG_1079.JPEG,[254.98330475 254.99343823 254.96157981],88.11555555555556,[66.11035128 73.8477994  43.21883219],2.3762499999999998,[227.17890926 229.99883218 235.05804041],1.1893055555555556,[103.49001052  92.33975932  92.40495385],1.18875,[144.72236504 152.7842954  124.57560178],1.188611111111111,[31.94659343 35.87974758 21.26282576],1.1884722222222222,[184.87495618 191.2444782  204.53874021],1.1884722222222222,[124.71411875 154.77302478 201.01998597],1.1883333333333332,[165.3408533  115.23202805  96.47375804],1.1881944444444446,[106.31073182 128.59784896  60.00187047],1.1880555555555556
